route_id,day,place_id,place_name,priority,status,official_url,verification_items,opening_status,reservation_status,ticket_status,transport_status,publish_note
relaxed_2d1n_citywalk,1,wukang_road,武康路,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
relaxed_2d1n_citywalk,1,anfu_road,安福路,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
relaxed_2d1n_citywalk,1,xintiandi,新天地,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
relaxed_2d1n_citywalk,2,bund_source,外滩源,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
relaxed_2d1n_citywalk,2,the_bund,外滩,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式 / 天气/夜景/户外影响,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
relaxed_2d1n_citywalk,2,nanjing_east_road,南京东路,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
first_time_3d2n_balanced,1,peoples_square,人民广场,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
first_time_3d2n_balanced,1,nanjing_east_road,南京东路,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
first_time_3d2n_balanced,1,the_bund,外滩,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式 / 天气/夜景/户外影响,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
first_time_3d2n_balanced,2,wukang_road,武康路,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
first_time_3d2n_balanced,2,anfu_road,安福路,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
first_time_3d2n_balanced,2,fuxing_park,复兴公园,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 预约/门票规则 / 官方交通/到达方式 / 天气/夜景/户外影响,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
first_time_3d2n_balanced,2,xintiandi,新天地,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
first_time_3d2n_balanced,3,shanghai_museum,上海博物馆,高,待人工复核,https://www.shanghaimuseum.net/,开放时间/临时闭馆 / 预约/门票规则 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前必须人工确认预约、开放时间和临时闭馆。
first_time_3d2n_balanced,3,yuyuan,豫园 / 老城厢,高,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 预约/门票规则 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
first_time_3d2n_balanced,3,bund_source,外滩源,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
highwalk_3d2n_landmark_citywalk,1,peoples_square,人民广场,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
highwalk_3d2n_landmark_citywalk,1,nanjing_east_road,南京东路,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
highwalk_3d2n_landmark_citywalk,1,the_bund,外滩,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式 / 天气/夜景/户外影响,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
highwalk_3d2n_landmark_citywalk,1,lujiazui,陆家嘴,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式 / 天气/夜景/户外影响,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
highwalk_3d2n_landmark_citywalk,2,wukang_road,武康路,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
highwalk_3d2n_landmark_citywalk,2,anfu_road,安福路,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
highwalk_3d2n_landmark_citywalk,2,fuxing_park,复兴公园,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 预约/门票规则 / 官方交通/到达方式 / 天气/夜景/户外影响,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
highwalk_3d2n_landmark_citywalk,2,xintiandi,新天地,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
highwalk_3d2n_landmark_citywalk,3,shanghai_museum,上海博物馆,高,待人工复核,https://www.shanghaimuseum.net/,开放时间/临时闭馆 / 预约/门票规则 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前必须人工确认预约、开放时间和临时闭馆。
highwalk_3d2n_landmark_citywalk,3,yuyuan,豫园 / 老城厢,高,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 预约/门票规则 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
highwalk_3d2n_landmark_citywalk,3,bund_source,外滩源,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
highwalk_3d2n_landmark_citywalk,3,suzhou_creek,苏州河步道,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式 / 天气/夜景/户外影响,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
deep_5d4n_culture_citywalk,1,peoples_square,人民广场,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
deep_5d4n_culture_citywalk,1,nanjing_east_road,南京东路,中,未回填,https://www.meet-in-shanghai.net/,开放时间/临时闭馆 / 官方交通/到达方式,待查官网开放信息,待查官网预约规则,待查官网票务规则,待查官方交通和到达方式,发布前人工确认开放、预约、票务和交通。
